-23.53605,-46.77255;-23.462877,-46.875227
-23.53605,-46.77255;-23.488628,-46.883494
-23.53605,-46.77255;-23.484504,-46.863243
-23.53605,-46.77255;-23.493305,-46.88036
-23.53605,-46.77255;-23.498618,-46.852081
-23.53605,-46.77255;-23.502462,-46.831496
-23.53605,-46.77255;-23.555224,-46.836519
-23.53605,-46.77255;-23.518023,-46.859695
-23.53605,-46.77255;-23.518061,-46.853146
-23.53605,-46.77255;-23.612274,-46.932191
-23.53605,-46.77255;-23.602868,-46.906624
-23.53605,-46.77255;-23.553214,-46.936097
-23.53605,-46.77255;-23.536243,-46.939834
-23.53605,-46.77255;-23.5338021,-46.78724
-23.53605,-46.77255;-23.552966,-46.792419
-23.53605,-46.77255;-23.524678,-46.811874
-23.53605,-46.77255;-23.530406,-46.786711
-23.53605,-46.77255;-23.53605,-46.77255
-23.53605,-46.77255;-23.5630463,-46.790852
-23.53605,-46.77255;-23.5735843,-46.7101615
-23.53605,-46.77255;-23.581024,-46.730702
-23.53605,-46.77255;-23.578492,-46.709373
-23.53605,-46.77255;-23.587351,-46.7320433
-23.53605,-46.77255;-23.6248761,-46.7647279
-23.53605,-46.77255;-23.553796,-46.743395
-23.53605,-46.77255;-23.5922445,-46.7319317
-23.53605,-46.77255;-23.5489518,-46.7061765
-23.53605,-46.77255;-23.5153853,-46.6966521
-23.53605,-46.77255;-23.588038,-46.723247
-23.53605,-46.77255;-23.582759,-46.713375
-23.53605,-46.77255;-23.527768,-46.704739
-23.53605,-46.77255;-23.514707,-46.699153
-23.53605,-46.77255;-23.529658,-46.727104
-23.53605,-46.77255;-23.587698,-46.726941
-23.53605,-46.77255;-23.524802,-46.708829
-23.53605,-46.77255;-23.554222,-46.709644
-23.53605,-46.77255;-23.596163,-46.745935
-23.53605,-46.77255;-23.611505,-46.73425
-23.53605,-46.77255;-23.554081,-46.742904
-23.53605,-46.77255;-23.5456266,-46.71767
-23.53605,-46.77255;-23.610523,-46.727398
-23.53605,-46.77255;-23.517407,-46.729103
